Start,End,,,MEPs,Duration,Time in Zone,Average Effort,Average Heart Rate,Calories,Peak Heart Rate,Date,Zone 0 Mins,Zone 1 Mins,Zone 2 Mins,Zone 3 Mins,Zone 4 Mins,Zone 5 Mins,Zone 0 MEPs,Zone 1 MEPs,Zone 2 MEPs,Zone 3 MEPs,Zone 4 MEPs,Zone 5 MEPs,Class,
12:12 PM,12:56 PM,Workout,7555676,123,44,39,72%,132,573,166,2025-01-13,3,1,8,22,10,0,0,1,16,66,40,0,0

Time,hr
2025-01-13 12:12,88
2025-01-13 12:13,86
2025-01-13 12:14,88
2025-01-13 12:15,87
2025-01-13 12:16,93
2025-01-13 12:17,137
2025-01-13 12:18,163
2025-01-13 12:19,158
2025-01-13 12:20,154
2025-01-13 12:21,154
2025-01-13 12:22,132
2025-01-13 12:23,123
2025-01-13 12:24,118
2025-01-13 12:25,125
2025-01-13 12:26,140
2025-01-13 12:27,138
2025-01-13 12:28,138
2025-01-13 12:29,143
2025-01-13 12:30,144
2025-01-13 12:31,138
2025-01-13 12:32,142
2025-01-13 12:33,151
2025-01-13 12:34,147
2025-01-13 12:35,143
2025-01-13 12:36,142
2025-01-13 12:37,134
2025-01-13 12:38,130
2025-01-13 12:39,128
2025-01-13 12:40,134
2025-01-13 12:41,135
2025-01-13 12:42,125
2025-01-13 12:43,117
2025-01-13 12:44,122
2025-01-13 12:45,116
2025-01-13 12:46,131
2025-01-13 12:47,134
2025-01-13 12:48,143
2025-01-13 12:49,124
2025-01-13 12:50,124
2025-01-13 12:51,130
2025-01-13 12:52,133
2025-01-13 12:53,134
2025-01-13 12:54,145
2025-01-13 12:55,144
2025-01-13 12:56,138

