Start,End,,,MEPs,Duration,Time in Zone,Average Effort,Average Heart Rate,Calories,Peak Heart Rate,Date,Zone 0 Mins,Zone 1 Mins,Zone 2 Mins,Zone 3 Mins,Zone 4 Mins,Zone 5 Mins,Zone 0 MEPs,Zone 1 MEPs,Zone 2 MEPs,Zone 3 MEPs,Zone 4 MEPs,Zone 5 MEPs,Class,
5:25 PM,6:16 PM,Workout,7555676,161,52,45,76%,129,651,156,2025-02-17,3,4,3,17,23,2,0,4,6,51,92,8,0

Time,hr
2025-02-17 17:25,105
2025-02-17 17:26,82
2025-02-17 17:27,79
2025-02-17 17:28,82
2025-02-17 17:29,86
2025-02-17 17:30,103
2025-02-17 17:31,111
2025-02-17 17:32,136
2025-02-17 17:33,135
2025-02-17 17:34,121
2025-02-17 17:35,101
2025-02-17 17:36,94
2025-02-17 17:37,116
2025-02-17 17:38,137
2025-02-17 17:39,147
2025-02-17 17:40,148
2025-02-17 17:41,141
2025-02-17 17:42,128
2025-02-17 17:43,127
2025-02-17 17:44,129
2025-02-17 17:45,136
2025-02-17 17:46,148
2025-02-17 17:47,151
2025-02-17 17:48,129
2025-02-17 17:49,122
2025-02-17 17:50,129
2025-02-17 17:51,137
2025-02-17 17:52,140
2025-02-17 17:53,143
2025-02-17 17:54,142
2025-02-17 17:55,130
2025-02-17 17:56,140
2025-02-17 17:57,153
2025-02-17 17:58,149
2025-02-17 17:59,135
2025-02-17 18:00,135
2025-02-17 18:01,142
2025-02-17 18:02,142
2025-02-17 18:03,131
2025-02-17 18:04,118
2025-02-17 18:05,123
2025-02-17 18:06,133
2025-02-17 18:07,141
2025-02-17 18:08,148
2025-02-17 18:09,140
2025-02-17 18:10,130
2025-02-17 18:11,129
2025-02-17 18:12,129
2025-02-17 18:13,133
2025-02-17 18:14,137
2025-02-17 18:15,132
2025-02-17 18:16,135

