Start,End,,,MEPs,Duration,Time in Zone,Average Effort,Average Heart Rate,Calories,Peak Heart Rate,Date,Zone 0 Mins,Zone 1 Mins,Zone 2 Mins,Zone 3 Mins,Zone 4 Mins,Zone 5 Mins,Zone 0 MEPs,Zone 1 MEPs,Zone 2 MEPs,Zone 3 MEPs,Zone 4 MEPs,Zone 5 MEPs,Class,
11:40 AM,12:45 PM,Workout,7555676,197,66,58,75%,137,908,165,2025-01-17,2,5,15,14,28,2,0,5,30,42,112,8,0

Time,hr
2025-01-17 11:40,73
2025-01-17 11:41,74
2025-01-17 11:42,97
2025-01-17 11:43,115
2025-01-17 11:44,148
2025-01-17 11:45,147
2025-01-17 11:46,128
2025-01-17 11:47,128
2025-01-17 11:48,128
2025-01-17 11:49,130
2025-01-17 11:50,126
2025-01-17 11:51,119
2025-01-17 11:52,124
2025-01-17 11:53,139
2025-01-17 11:54,155
2025-01-17 11:55,162
2025-01-17 11:56,161
2025-01-17 11:57,153
2025-01-17 11:58,159
2025-01-17 11:59,161
2025-01-17 12:00,157
2025-01-17 12:01,153
2025-01-17 12:02,152
2025-01-17 12:03,154
2025-01-17 12:04,154
2025-01-17 12:05,156
2025-01-17 12:06,152
2025-01-17 12:07,140
2025-01-17 12:08,132
2025-01-17 12:09,118
2025-01-17 12:10,116
2025-01-17 12:11,128
2025-01-17 12:12,145
2025-01-17 12:13,154
2025-01-17 12:14,149
2025-01-17 12:15,147
2025-01-17 12:16,154
2025-01-17 12:17,155
2025-01-17 12:18,140
2025-01-17 12:19,141
2025-01-17 12:20,142
2025-01-17 12:21,126
2025-01-17 12:22,130
2025-01-17 12:23,145
2025-01-17 12:24,159
2025-01-17 12:25,157
2025-01-17 12:26,158
2025-01-17 12:27,153
2025-01-17 12:28,154
2025-01-17 12:29,150
2025-01-17 12:30,156
2025-01-17 12:31,164
2025-01-17 12:32,151
2025-01-17 12:33,131
2025-01-17 12:34,116
2025-01-17 12:35,109
2025-01-17 12:36,109
2025-01-17 12:37,107
2025-01-17 12:38,114
2025-01-17 12:39,121
2025-01-17 12:40,112
2025-01-17 12:41,118
2025-01-17 12:42,116
2025-01-17 12:43,107
2025-01-17 12:44,107
2025-01-17 12:45,108

